iso3,Year,BX.TRF.PWKR.CD.DT,BX.TRF.PWKR.DT.GD.ZS,DC.DAC.TOTL.CD,DT.TDS.DPPG.GN.ZS,EG.ELC.ACCS.ZS,EN.POP.DNST,FP.CPI.TOTL.ZG,FS.AST.PRVT.GD.ZS,GC.XPN.COMP.ZS,GC.XPN.GSRV.ZS,GC.XPN.TOTL.GD.ZS,HD.HCI.OVRL.UB,IQ.CPA.FISP.XQ,IQ.CPA.MACR.XQ,IT.MLT.MAIN.P2,IT.NET.BBND.P2,IT.NET.USER.ZS,MS.MIL.TOTL.P1,MS.MIL.TOTL.TF.ZS,NE.CON.GOVT.ZS,NE.CON.TOTL.ZS,NE.GDI.TOTL.ZS,NV.AGR.TOTL.CD,NV.AGR.TOTL.ZS,NV.IND.MANF.ZS,NV.IND.TOTL.ZS,NV.SRV.TOTL.ZS,NY.ADJ.NNTY.PC.KD.ZG,NY.GDP.MKTP.CD,NY.GDP.PCAP.CD,NY.GDP.PCAP.KD.ZG,NY.GDP.PCAP.PP.CD,NY.GNP.MKTP.KD.ZG,NY.GNS.ICTR.GN.ZS,NY.GNS.ICTR.ZS,PV.EST,RL.EST,SE.ADT.LITR.MA.ZS,SE.COM.DURS,SE.PRM.ENRR,SE.PRM.GINT.ZS,SE.PRM.NINT.FE.ZS,SE.SEC.ENRR,SE.TER.ENRR,SE.XPD.TOTL.GB.ZS,SE.XPD.TOTL.GD.ZS,SG.GEN.PARL.ZS,SH.XPD.CHEX.GD.ZS,SH.XPD.CHEX.PP.CD,SH.XPD.EHEX.CH.ZS,SH.XPD.EHEX.PP.CD,SH.XPD.GHED.CH.ZS,SH.XPD.GHED.GD.ZS,SH.XPD.GHED.GE.ZS,SH.XPD.OOPC.CH.ZS,SH.XPD.OOPC.PP.CD,SH.XPD.PVTD.PP.CD,SI.DST.10TH.10,SI.DST.FRST.20,SI.SPR.PC40.ZG,SL.AGR.EMPL.ZS,SL.EMP.TOTL.SP.NE.ZS,SL.EMP.TOTL.SP.ZS,SL.IND.EMPL.ZS,SL.TLF.TOTL.FE.ZS,SL.TLF.TOTL.IN,SL.UEM.TOTL.NE.ZS,SP.POP.0014.TO.ZS,SP.POP.1564.TO.ZS,SP.POP.65UP.TO.ZS,SP.POP.GROW,SP.POP.TOTL.FE.ZS,SP.URB.TOTL.IN.ZS,VA.EST,SuicideRatesPer100k
AFG,2002,509472024.23130953,1.54245574103444,1134419991.01639,1.50003420459832,14.1,32.77696058139,3.41194579807465,36.0581396070456,24.3289207281494,13.1101753136205,25.4405148099364,0.588400274515152,3.5,3.5,0.155,2.907935,0.00456,120000.0,2.42541152159405,15.8265248737495,79.45290853610645,23.1150021289388,1477787814.89031,38.6278918638443,18.8227521829407,23.8101270064854,36.1511545995992,2.301710801357805,3825701438.99963,178.954088379235,22.0201902696299,926.507941009788,3.52845242018432,21.986041550184297,21.49402750755765,-2.03503370285034,-1.67347323894501,93.0,6.0,75.9597473144531,186.3333,70.16112,88.118782043457,34.61758422851565,14.0369701385498,4.32492995262146,16.8,9.44339085,85.8518071050677,13.73297024,11.7900035559495,0.89142376,0.08418062,1.21245599,85.37560272,73.2965016042509,73.296500283769,26.9,7.1,1.6,64.1866885429726,56.973,42.82,10.0138980692638,15.4681024024914,4947614.0,6.642,50.2378974724481,47.498128576993,2.26397395055888,5.25202958527833,49.7748188018617,22.261,-1.43342101573944,9.63
AFG,2003,509472024.23130953,1.54245574103444,1428820004.5675,1.50003420459832,19.0,34.8543443263879,3.41194579807465,36.0581396070456,24.3289207281494,13.1101753136205,25.4405148099364,0.588400274515152,3.5,3.5,0.161,2.907935,0.0879,130000.0,2.47152047939893,15.8265248737495,79.45290853610645,23.1150021289388,1691686554.69326,37.4188554431481,16.9238662341696,22.7108641828326,37.4448038407261,2.301710801357805,4520946818.54581,198.871115728727,2.34567163632688,966.962032047533,3.52845242018432,21.986041550184297,21.49402750755765,-2.19837236404419,-1.5582937002182,93.0,6.0,96.5536804199219,187.76297,70.16112,14.078049659729,1.38107001781464,14.0369701385498,4.32492995262146,16.8,8.94125843,85.9267296124687,6.65036392,5.71443986929736,7.28044462,0.65096337,5.45767879,86.06919098,73.9564397253027,73.9564420745369,26.9,7.1,1.6,63.4815570476004,56.973,42.835,10.3404238369538,15.4540373237616,5259920.0,6.642,50.2402911285679,47.4929561802291,2.26675269120301,6.14519400188515,49.7353610595745,22.353,-1.1775711774826,9.5
AFG,2004,509472024.23130953,1.54245574103444,1934599977.91052,1.50003420459832,23.8,36.1232295355933,3.41194579807465,36.0581396070456,24.3289207281494,13.1101753136205,25.4405148099364,0.588400274515152,3.5,3.5,11.9,0.000848873,0.106,27000.0,0.49456962551188,15.8265248737495,79.45290853610645,23.1150021289388,1552895061.63349,29.7210671376957,17.5540062570161,26.2267897500666,41.1108953364243,2.301710801357805,5224896718.67782,221.763653873013,-2.14821228495553,971.633503058856,3.52845242018432,21.986041550184297,21.49402750755765,-2.29568219184875,-1.6939252614975,93.0,6.0,106.252662658691,101.90027,70.16112,19.2631397247314,1.38966000080109,14.0369701385498,4.32492995262146,16.8,9.80847359,93.9246419108852,9.9371376,9.33342084557804,5.53527164,0.54292566,3.60296822,84.52758789,79.3922389296788,79.3922385067553,26.9,7.1,1.6,62.4699483373933,56.973,42.833,10.8088730169085,15.4872829663627,5459292.0,6.642,50.1769146598586,47.5544385897446,2.2686467503968,3.57583485398158,49.6977736567828,22.5,-1.20303392410278,9.33
AFG,2005,0.0,0.0,2441790047.45558,1.50003420459832,28.7,37.4171181945019,12.6862687216715,36.0581396070456,24.3289207281494,13.1101753136205,25.4405148099364,0.588400274515152,3.5,3.5,11.9,0.000901471,1.22,27000.0,0.475994202038031,15.8265248737495,79.45290853610645,23.1150021289388,1930134271.84251,31.114854912062,16.5982122192596,26.8120992326398,39.0077871841904,2.301710801357805,6203256538.70967,254.184249149336,7.38337728197978,1076.08735259624,3.52845242018432,21.986041550184297,21.49402750755765,-2.06750988960266,-1.66296553611755,93.0,6.0,100.229690551758,110.66335,70.16112,20.3119602203369,34.61758422851565,14.0369701385498,4.32492995262146,27.3092369477912,9.94828892,105.91549843299,15.71056557,16.639923656983,5.31934786,0.5291841,3.38122058,78.97008514,83.6415614727362,83.6415579946416,26.9,7.1,1.6,61.7035520555844,56.973,42.863,11.2277583851206,15.5637763476013,5672338.0,6.642,50.0495665421968,47.6806841112977,2.26974934650551,3.51921696042587,49.6624648026931,22.703,-1.12542963027954,9.13
AFG,2006,0.0,0.0,2644089955.01697,0.130405136516398,33.5,38.9802584977692,6.78459655001655,4.84285686566253,36.7641537328888,57.2163766333674,20.5781737687622,0.588400274515152,3.0,4.0,11.9,0.00196664,2.11,51000.0,0.859011459718174,15.8265248737495,79.45290853610645,23.1150021289388,1996430511.50265,28.6359685844686,16.3855371972017,28.2107680719994,39.8310243252872,2.301710801357805,6971758282.29351,274.218553561575,1.13248505528998,1121.83447075137,3.52845242018432,21.986041550184297,21.49402750755765,-2.21913456916809,-1.87900483608246,93.0,6.0,103.932243347168,101.90027,70.16112,29.6913509368896,34.61758422851565,14.559211730957,4.68476057052612,27.3092369477912,10.62276554,118.394179135793,18.48848534,21.8892913791901,4.6865387,0.49784002,2.7260592,76.82497406,90.9563027299582,90.956297239173,26.9,7.1,1.6,60.8938116273357,56.973,42.885,11.6346703097012,15.6961942592096,5937057.0,6.642,49.8559368554896,47.872283121037,2.2717800234734,4.09270201656348,49.6325060786827,22.907,-1.11029398441315,8.97
AFG,2007,0.0,0.0,3347500025.92803,0.0456990740952178,38.4,39.7250233813225,8.68057078513406,6.83998223656721,28.2277820784536,66.5901367809826,24.2432588226125,0.588400274515152,3.0,3.5,11.9,0.00192977,1.9,51000.0,0.83747720337789,15.8265248737495,79.45290853610645,23.1150021289388,2934602243.82149,30.1050113574013,17.7473095255876,26.8822416082148,40.294685221301,2.301710801357805,9747886187.39393,376.223152003876,11.6923032922081,1286.9498431073,3.52845242018432,21.986041550184297,21.49402750755765,-2.4133734703064,-1.85256004333496,93.0,6.0,101.086456298828,92.32102,41.76244,29.0891704559326,34.61758422851565,10.8146924972534,4.17489528656006,27.6859504132231,9.90467453,112.239283082398,16.17664719,18.1565520544791,5.65336657,0.55994755,2.61078191,78.16998291,87.7374302789324,87.7374325371581,26.9,7.1,1.6,60.1907517756168,56.973,42.977,11.8600391222661,15.896548904235,6089718.0,6.642,49.5860532125,48.1377315470579,2.27621524044213,1.8925975396006,49.6085021870639,23.113,-1.05765390396118,8.77
AFG,2008,89540435.95,0.885723661387124,4365230066.86568,0.0721466171740633,42.4,40.6031951918802,26.4186641547444,9.38832772083979,18.3605751100374,72.458784315372,50.7192978736512,0.588400274515152,3.0,3.5,11.9,0.00188803,1.84,94000.0,1.49834560329611,15.8265248737495,79.45290853610645,23.1150021289388,2516433516.78043,24.8922700059742,17.839116299,26.9156280026285,45.4098308716488,2.301710801357805,10109297047.5432,381.73323802844,1.6772791560615,1333.74726659751,3.52845242018432,21.986041550184297,21.49402750755765,-2.69136095046997,-1.90330755710602,93.0,9.0,103.413963317871,101.90027,70.16112,39.090030670166,34.61758422851565,4.86058568954468,4.38367223739624,27.6859504132231,10.25649548,137.415320027982,18.47561455,25.3883250421853,6.12099695,0.62779975,3.00392056,75.40338898,103.615805569701,103.615806620025,26.9,7.1,1.6,59.0112428140534,61.688,43.002,12.4186757786708,16.1551622947386,6273586.0,2.495,49.2514090938579,48.4650217036667,2.28356920247549,2.18654618162979,49.5862305477154,23.32,-1.16890180110931,8.47
AFG,2009,140695166.3,1.13316233567863,5533499925.92633,0.0781203236708296,48.3,42.1110666482682,-6.81116108898996,10.58413068423,23.4535383334864,71.7241186786376,44.3178392396772,0.588400274515152,3.0,3.5,0.0187,0.00364085,3.55,255745.0,3.89661480779143,15.8265248737495,79.45290853610645,23.1150021289388,3637622477.63069,29.2975010547259,13.14987660941,21.8971222069406,45.2444349261482,2.301710801357805,12416152732.0567,452.053705477043,17.0438963216074,1570.69814518678,3.52845242018432,21.986041550184297,21.49402750755765,-2.71142148971558,-1.87611877918243,93.0,9.0,99.3697204589844,102.5471,70.16112,44.3971710205078,4.02480983734131,6.49249029159546,4.81063985824585,27.3092369477912,9.81848717,153.091578828564,21.8033886,33.3791520824799,5.41736698,0.53190351,2.51478314,72.77924347,111.418889294606,111.418895275321,26.9,7.1,1.6,57.0509516045728,56.973,43.119,13.5837305819466,16.4397545671275,6563261.0,6.642,48.8782053353369,48.8282510289366,2.29354363572652,3.64638090813246,49.5627082112131,23.528,-1.37549519538879,8.18
AFG,2010,378206657.0181,2.38515836845792,5845170058.92099,0.0546086040176538,42.7,43.3652070588596,2.17853752389419,11.5750442390122,23.2801147984071,74.7001121260602,50.8630045999057,0.588400274515152,3.0,3.5,0.0588,0.00530334,4.0,306800.0,4.49658278761458,15.8265248737495,79.45290853610645,23.1150021289388,4156043696.24108,26.2100685374552,12.5225768432907,21.1514206977128,48.8793769096891,2.301710801357805,15856668555.8336,560.621505463146,11.0550305527288,1765.53802828895,3.52845242018432,21.986041550184297,21.49402750755765,-2.57915186882019,-1.87005805969238,93.0,9.0,102.903442382812,108.95861,70.16112,50.413688659668,34.61758422851565,6.39557981491089,3.4794499874115,27.710843373494,8.56967163,148.264513269064,15.52872467,23.0235877065693,5.47462463,0.46915731,2.2567358,78.9966507,117.123999543955,117.123999918436,26.9,7.1,1.6,54.5618800716177,56.973,43.182,14.859119986692,16.7430582537576,6822959.0,6.642,48.4673299618618,49.2260551369721,2.30661490116607,2.93468670173474,49.539440691883,23.737,-1.40446734428406,7.96
AFG,2011,179116561.3764,1.0059846865258,6316669943.33268,0.0548204517804912,43.2,44.9959492816951,11.8041858089129,4.95918037606027,21.9683395897047,75.7334792740754,59.4847758807514,0.588400274515152,3.0,3.5,0.046,2.907935,5.0,340350.0,4.7608430000291,15.8265248737495,79.45290853610645,23.1150021289388,4227582690.79689,23.7436639877543,13.7791892429929,22.7402524820273,49.6968203962567,2.301710801357805,17805098206.3141,606.694676337726,-3.21329500579925,1744.06062321558,3.52845242018432,21.986041550184297,21.49402750755765,-2.50205969810486,-1.9225001335144,45.0,9.0,100.290298461914,112.326,65.6757,52.198429107666,3.75560998916626,5.14692163467407,3.4620099067688,27.710843373494,8.56190777,146.844395694768,21.13860512,31.0408570138032,5.60622549,0.47999981,2.18811917,73.25517273,107.571106948136,107.571107457707,26.9,7.1,1.6,52.784792865023,56.973,43.232,15.8227705054974,17.0434262738665,7148944.0,6.642,48.0397975201334,49.6380620251503,2.32214045471626,3.69150308391849,49.5184921942965,23.948,-1.33597695827484,7.72
